
Summary,GUA
Emissions
,Accidents,35.5921
,Congestion,28.8888
,CO2e_sources,939.654
,CO2e,1009.18
,Health,26.6907

Cost,352513

TID Demand

,GUA
Fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E5INDDSL,All,6.0729,6.4599,5.936,7.1908,6.9527,7.2527,7.54,7.8387,8.1492,8.3838,8.6241,8.8704,9.1226,9.3809,9.6453,9.916,10.193,10.4763,10.7662,11.0625,11.3654,11.675,11.9912,12.3142,12.6439,12.9805,13.3239,13.6741,14.0311,14.395,14.7657,15.1432,15.5274
E5INDGSL,All,1.4814,1.414,1.521,1.7781,1.7484,1.8687,1.99735,2.13487,2.28185,2.43895,2.60686,2.78633,2.97817,3.1832,3.40236,3.6366,3.88697,4.15458,4.44061,4.74633,5.0731,5.42237,5.79568,6.1947,6.62119,7.07704,7.56427,8.08505,8.64168,9.23663,9.87255,10.5522,11.2787
E5INDLPG,All,3.9299,4.1177,4.173,4.8047,5.0774,5.2627,5.6248,6.0118,6.4255,6.796,7.1872,7.6,8.0355,8.4951,8.9798,9.491,10.0301,10.5984,11.1974,11.8287,12.4938,13.1945,13.9324,14.7094,15.5274,16.3883,17.2942,18.2472,19.2494,20.3031,21.4108,22.5747,23.7974
E5INDELE,All,14.0081,15.226,13.6341,17.0376,16.1481,17.873,18.5714,19.2971,20.0511,20.7087,21.3871,22.0869,22.8088,23.5533,24.3212,25.1131,25.9298,26.7719,27.6403,28.5357,29.4588,30.4106,31.3917,32.403,33.4455,34.5199,35.6273,36.7685,37.9445,39.1562,40.4047,41.691,43.0161
E5INDHYD,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDCOK,All,6.9774,16.3384,17.9353,16.4191,27.8291,26.3655,28.3432,30.4693,32.7549,34.9918,37.38,39.9297,42.6515,45.5569,48.6583,51.9686,55.5017,59.2725,63.2967,67.5911,72.1736,77.0633,82.2804,87.8466,93.7849,100.12,106.877,114.085,121.773,129.973,138.717,148.042,157.985
E5INDCEMCOK,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDCEMELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDKER,All,0.0031,0.0235,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDBIM,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDBGS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDFOI,All,7.3062,6.1827,5.9737,7.5719,8.6046,8.5954,8.6799,8.7653,8.8515,8.8455,8.8384,8.8304,8.8214,8.8113,8.8002,8.788,8.7747,8.7603,8.7448,8.7281,8.7102,8.6912,8.6709,8.6494,8.6266,8.6026,8.5772,8.5505,8.5225,8.4931,8.4622,8.43,8.3963
E5RESLPG,All,15.1303,15.8533,16.0661,18.4981,19.5481,20.2613,21.6554,23.1454,24.7379,26.2416,27.8352,29.5239,31.3132,33.2089,35.2172,37.3447,39.5983,41.9851,44.513,47.1899,50.0245,53.0258,56.2032,59.5668,63.1273,66.8957,70.8838,75.1041,79.5695,84.2938,89.2916,94.5781,100.169
E5RESELE,All,13.9159,14.2018,14.4551,16.1494,15.497,16.4005,16.878,17.3693,18.1719,18.9115,19.6755,20.4648,21.2801,22.122,22.9914,23.5388,24.0986,24.671,25.2563,25.8548,26.4667,27.0924,27.732,28.386,29.0545,29.7378,30.4364,31.1504,31.8802,32.626,33.3883,34.1673,34.9634
E5RESKER,All,0.0218,0.1643,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5RESFIR,All,295.955,301.644,310.737,320.104,329.754,339.695,351.037,362.758,374.87,348.59,357.807,367.044,376.307,385.514,394.642,403.644,412.49,421.073,428.937,436.668,443.882,450.43,456.296,461.316,465.338,468.231,469.714,469.689,467.838,463.92,457.636,448.66,436.554
E5RESBIM,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5EXPLPG,All,7.333,5.749,6.046,6.138,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867,5.867
E5EXPELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5EXPCRU,All,13.726,11.934,8.50242,6.81395,5.2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6BRT,All,0,0,0,0,0,0,0,0,0,0.6112,1.2224,1.8336,2.4448,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,3.056,4.1038,4.1038,4.1038,4.1038
E6AERO,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0.39,0.5201,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501,0.6501
E4DSL_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4GSL_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4Flex_Fuel_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4HYD_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4HYD_HEA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4GSL_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4LPG_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_LIG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4HYD_PRI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRAUT,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRMOT,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRMBS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5TRBPR,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
